Markt,PLZ,Ort,Adresse,Datum,Angebot
Kunsthandwerksmarkt Grein,4360,Grein,Hauptstraße / Stadtzentrum,19–21.09.2025,"Kunsthandwerk, Schmuck, Keramik, Holz, Textil"
Radstädter Kunsthandwerksmarkt,5550,Radstadt,Stadtplatz / Altstadt,06–07.09.2025,"Keramik, Schmuck, Glas, Filz, Textil, Holz"
Kunsthandwerksmarkt Gmünd,9853,Gmünd,Hauptplatz / Altstadt,02–03.08.2025,"Jurierte Kunsthandwerker, Keramik, Schmuck, Holz"
Kunsthandwerksmarkt Aschach,4082,Aschach an der Donau,Schopperplatz / Donaustraße,23–24.08.2025,"Glas, Holz, Keramik, Textil, Metall"
Kunsthandwerksmarkt Bad Aussee,8990,Bad Aussee,Kurpark,01–03.08.2025,"Keramik, Filz, Textilien, Naturprodukte"
Arts & Crafts Market St. Gilgen,5340,St. Gilgen,Dorfzentrum / Seeufer,tbd 2025,"Holz, Glas, Keramik, Raku"
Unterach Arts & Crafts Market,4866,Unterach am Attersee,Seeufer / Ortsplatz,Juli 2026,Handgefertigte Einzelstücke
Designmarkt Edelstoff (Wien),1030,Wien,Marx Halle,08–09.03.2025,"Design, Mode, Schmuck"
Art Advent Karlsplatz (Wien),1040,Wien,Karlsplatz,21.11–23.12.2025,"Kunsthandwerk, Bio-Gastro"
Weihnachtsmarkt Spittelberg,1070,Wien,Spittelbergviertel,14.11–23.12.2025,"Kunsthandwerk, Schmuck, Textil"
Kunsthandwerksmarkt Hallein,5400,Hallein,Pernerinsel,31.05–01.06.2025,"Keramik, Holz, Glas"
kunst & design markt Salzburg,5101,Bergheim,Brandboxx,25–26.10.2025,"Design, Interior, Schmuck"
Töpfermarkt Gmunden,4810,Gmunden,Rathausplatz / Esplanade,29–31.08.2025,"Keramik, Töpferei"
Kunsthandwerksmarkt Villach,9500,Villach,Kirchenplatz,28–30.08.2025,"Keramik, Schmuck, Textil"
Kunst & Können Linz,4020,Linz,Altstadt,24–25.05.2025,Traditionelles Handwerk
Kunsthandwerksmarkt Klagenfurt,9020,Klagenfurt,Lendhafen,04–06.07.2025,"Keramik, Textil, Schmuck"
Kunsthandwerksmarkt Tulln,3430,Tulln,Hauptplatz,tbd 2025,"Mode, Schmuck, Keramik"
Kunsthandwerkermarkt Podersdorf,7141,Podersdorf am See,Strandplatz,15–17.08.2025,"Textil, Schmuck, Keramik"
designmarkt Linz Tabakfabrik,4020,Linz,Tabakfabrik,tbd 2025,"Design, Schmuck"
HAND.WERK.STADT Salzburg,5020,Salzburg,Alter Markt,April 2025,Werkstätten & Handwerk
Edelstoff XMAS,1030,Wien,Marx Halle,06–07.12.2025,"XMAS Design, Geschenke"
Karlsplatz Art Advent,1040,Wien,Karlsplatz,Advent 2025,Kunsthandwerk
Kunsthandwerksmarkt Graz,8010,Graz,Hauptplatz,tbd 2025,Kunsthandwerk regional
Kunsthandwerksmarkt Innsbruck,6020,Innsbruck,Sparkassenplatz,monatlich 2025,Wechselnde Handwerker
Handwerksmarkt Kitzbühel,6370,Kitzbühel,Altstadt,Sommer 2025,Tiroler Handwerk
Kunsthandwerksmarkt Rattenberg,6240,Rattenberg,Altstadt,tbd 2025,Glas & Kunsthandwerk
Lienz Kunsthandwerksmarkt,9900,Lienz,Hauptplatz,Sommer 2025,Handwerkskunst aus Osttirol
Bregenz Kunsthandwerksmarkt,6900,Bregenz,Seeanlagen,Sommer 2025,"Holz, Keramik, Schmuck"
Dornbirn Handwerkskunstmarkt,6850,Dornbirn,Marktplatz,Herbst 2025,Regionale Manufakten
Kufstein Festungsmarkt,6330,Kufstein,Festung Kufstein,tbd 2025,Traditionelles Handwerk
St. Pölten Kunsthandwerksmarkt,3100,St. Pölten,Rathausplatz,tbd 2025,"Kunsthandwerk, Schmuck"
Melk Kunsthandwerkstage,3390,Melk,Stiftsplatz,tbd 2025,"Keramik, Textil, Holz"
Krems Steiner Tor Markt,3500,Krems,Steiner Tor,tbd 2025,Kunsthandwerk & Genuss
Zwettl Handwerksmarkt,3910,Zwettl,Hauptplatz,tbd 2025,"Holz, Keramik, Glas"
Eisenstadt Kunsthandwerksmarkt,7000,Eisenstadt,Schloss Esterházy,tbd 2025,"Schmuck, Keramik, Textil"
Neusiedl Kunsthandwerksmarkt,7100,Neusiedl am See,Hauptplatz,tbd 2025,Handwerk & Kunst
Schladming Kunsthandwerksmarkt,8970,Schladming,Hauptplatz,tbd 2025,"Holz, Glas, Schmuck"
